Agency Name,State Name [District] Latest available year,Prekindergarten Students - American Indian/Alaska Native [District] 2016-17,Prekindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Prekindergarten Students - Hispanic [District] 2016-17,Prekindergarten Students - Black [District] 2016-17,Prekindergarten Students - White [District] 2016-17,Prekindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Prekindergarten Students Two or More Races [District] 2016-17,Kindergarten Students - American Indian/Alaska Native [District] 2016-17,Kindergarten Students - Asian or Asian/Pacific Islander [District] 2016-17,Kindergarten Students - Hispanic [District] 2016-17,Kindergarten Students - Black [District] 2016-17,Kindergarten Students White [District] 2016-17,Kindergarten Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Kindergarten Students Two or More Races [District] 2016-17,Grade 1 Students - American Indian/Alaska Native [District] 2016-17,Grade 1 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 1 Students - Hispanic [District] 2016-17,Grade 1 Students - Black [District] 2016-17,Grade 1 Students - White [District] 2016-17,Grade 1 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 1 Students - Two or More Races [District] 2016-17,Grade 2 Students - American Indian/Alaska Native [District] 2016-17,Grade 2 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 2 Students - Hispanic [District] 2016-17,Grade 2 Students - Black [District] 2016-17,Grade 2 Students - White [District] 2016-17,Grade 2 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 2 Students - Two or More Races [District] 2016-17,Grade 3 Students - American Indian/Alaska Native [District] 2016-17,Grade 3 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 3 Students - Hispanic [District] 2016-17,Grade 3 Students - Black [District] 2016-17,Grade 3 Students - White [District] 2016-17,Grade 3 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 3 Students - Two or More Races [District] 2016-17,Grade 4 Students - American Indian/Alaska Native [District] 2016-17,Grade 4 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 4 Students - Hispanic [District] 2016-17,Grade 4 Students - Black [District] 2016-17,Grade 4 Students - White [District] 2016-17,Grade 4 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 4 Students - Two or More Races [District] 2016-17,Grade 5 Students - American Indian/Alaska Native [District] 2016-17,Grade 5 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 5 Students - Hispanic [District] 2016-17,Grade 5 Students - Black [District] 2016-17,Grade 5 Students - White [District] 2016-17,Grade 5 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 5 Students - Two or More Races [District] 2016-17
BRITTAN ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,–,48,–,5,–,–,12,–,23,–,7,1,–,9,–,32,–,4,–,–,9,–,28,–,3,1,–,12,–,32,–,3,1,–,13,–,34,–,7
BROWNS ELEMENTARY,California,†,†,†,†,†,†,†,–,2,6,–,11,–,–,–,–,6,–,8,–,2,–,2,6,–,2,–,1,–,1,9,–,8,1,–,–,–,6,1,11,–,2,–,–,11,–,6,–,1
BUCKEYE UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,44,92,1,388,1,28,–,53,78,3,365,2,37,2,39,73,3,338,1,26,1,44,72,3,360,–,62,1,52,87,9,433,3,35,3,51,75,3,432,1,31
BUELLTON UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,33,–,28,–,5,–,–,30,–,27,–,3,–,1,29,–,35,–,6,–,–,31,2,37,–,2,–,2,21,1,35,–,7,1,–,26,–,29,–,2
BUENA PARK ELEMENTARY,California,†,†,†,†,†,†,†,3,137,419,24,50,5,20,1,81,340,26,35,3,10,1,105,333,11,33,3,18,2,100,359,16,32,1,14,2,118,309,29,52,2,7,4,103,391,29,36,1,20
BUENA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,–,–,19,–,4,–,–,–,–,13,–,7,–,–,–,–,19,2,5,–,–,–,–,16,–,5,–,–,–,–,13,1,8,–,–,–,–,12,–,9,–,–
BURBANK UNIFIED,California,†,†,†,†,†,†,†,2,132,369,21,571,–,105,–,100,313,23,456,1,73,7,93,326,20,489,1,57,2,87,337,28,504,–,74,3,92,401,21,459,3,65,2,108,394,31,473,2,69
BURLINGAME ELEMENTARY,California,†,†,†,†,†,†,†,–,108,91,2,188,2,62,–,82,46,2,192,2,40,–,74,45,1,251,1,30,1,104,45,5,224,3,12,2,96,50,5,184,3,26,–,83,67,–,202,1,31
BURNT RANCH ELEMENTARY,California,†,†,†,†,†,†,†,1,–,2,–,3,–,4,1,1,1,1,6,–,–,4,–,4,1,2,–,–,3,–,1,–,5,–,–,6,–,2,–,4,–,–,3,–,4,–,3,–,–
BURREL UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,11,–,2,–,–,–,1,12,–,–,–,–,–,1,16,–,2,–,–,–,–,12,–,–,–,–,–,–,14,–,1,–,–,–,–,8,–,1,–,–
BURTON ELEMENTARY,California,†,†,†,†,†,†,†,8,26,416,1,107,–,3,12,21,370,4,78,–,1,2,28,348,3,98,1,2,6,17,307,3,95,1,4,5,32,381,3,110,–,6,7,30,307,1,105,1,5
BUTTE COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,2,–,11,1,62,–,7,4,1,10,–,42,–,8,1,–,7,1,36,–,8,2,–,9,–,44,–,3,3,1,10,–,38,–,5,2,1,12,1,55,–,7
BUTTE COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
BUTTE VALLEY UNIFIED,California,†,†,†,†,†,†,†,2,1,19,–,6,–,–,1,1,12,–,13,–,–,–,–,11,–,12,–,–,–,1,15,–,16,–,1,2,–,9,–,11,–,–,1,–,13,–,11,–,2
BUTTEVILLE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,1,–,19,–,–,2,–,–,–,17,–,–,3,–,–,–,21,–,–,4,–,–,–,18,–,–,5,–,–,–,28,–,–,2,–,–,–,12
BUTTONWILLOW UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,38,–,2,–,–,–,1,38,–,4,–,–,–,–,31,–,1,–,–,1,–,34,1,4,–,1,–,1,35,–,4,–,–,–,–,48,1,1,–,–
BYRON UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,7,61,5,115,1,21,4,6,38,8,124,2,14,6,8,50,9,119,3,13,4,8,47,11,123,3,4,7,10,44,19,130,5,9,12,11,56,9,146,5,2
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO JPA,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CA ADVANCING PATHWAYS FOR STUDENTS IN LOS ANGELES CO ROC/P,CALIFORNIA,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CA SCH FOR THE DEAF-RIVERSIDE (STATE SPECIAL SCHL),California,†,†,†,†,†,†,†,–,–,11,–,5,–,1,–,1,5,–,3,–,–,–,–,12,1,5,–,–,–,–,7,2,9,–,–,–,–,10,1,5,–,–,–,–,10,–,5,–,1
CABRILLO UNIFIED,California,†,†,†,†,†,†,†,–,5,130,–,108,2,19,–,8,111,1,94,–,4,–,5,113,3,96,–,8,–,6,139,–,95,–,15,–,6,117,–,96,–,6,–,6,154,–,91,1,11
CAJON VALLEY UNION,California,†,†,†,†,†,†,†,3,67,764,118,1122,7,175,3,51,622,101,878,10,142,2,41,600,116,833,10,144,4,57,628,121,825,13,109,1,53,737,138,835,13,131,7,67,719,98,980,11,127
CALAVERAS COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,1,–,3,1,17,–,2,–,–,1,–,15,–,4,–,–,6,–,22,–,2,–,–,2,–,21,–,1,–,–,3,–,18,–,4,1,–,6,2,19,–,4
CALAVERAS UNIFIED,California,†,†,†,†,†,†,†,2,1,48,1,172,–,15,3,1,46,1,116,–,17,5,1,48,–,153,–,21,3,2,34,1,151,–,14,3,1,41,–,156,–,13,2,1,51,1,150,–,10
CALEXICO UNIFIED,California,†,†,†,†,†,†,†,–,–,706,–,3,–,1,–,2,624,–,–,–,1,–,1,614,–,2,–,–,–,–,586,–,1,–,1,1,3,625,–,1,–,–,–,7,665,–,5,–,–
CALIENTE UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,4,–,1,–,–,–,–,6,–,1,–,–,1,–,4,–,–,–,–,1,–,4,–,–,–,–,–,–,7,–,–,–,–,1,–,3,–,–
CALIFORNIA EDUCATION AUTHORITY (CEA) HEADQUARTERS,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CALIFORNIA SCHOOL FOR THE BLIND (STATE SPECIAL SCHL),California,†,†,†,†,†,†,†,0,0,0,0,0,0,0,–,–,1,–,–,–,–,0,0,0,0,0,0,0,0,0,0,0,0,0,0,–,–,–,–,1,–,–,–,–,1,–,–,1,–
CALIFORNIA SCHOOL FOR THE DEAF-FREMONT (STATE SPECIAL SCHL),California,†,†,†,†,†,†,†,–,1,7,3,2,–,1,–,4,4,1,2,–,2,–,1,7,–,1,1,3,–,–,6,2,6,–,3,–,1,8,–,4,–,3,–,2,12,2,5,–,1
CALIPATRIA UNIFIED,California,†,†,†,†,†,†,†,–,–,79,3,6,–,1,–,–,78,–,7,–,2,–,–,68,1,6,–,1,–,2,72,5,6,–,2,–,1,64,2,6,–,–,–,–,79,4,8,–,1
CALISTOGA JOINT UNIFIED,California,†,†,†,†,†,†,†,–,1,74,–,9,–,4,–,–,63,–,10,–,2,–,–,48,–,8,–,4,–,1,53,–,8,–,–,–,2,51,–,7,–,3,–,1,63,–,7,–,1
CAMBRIAN,California,†,†,†,†,†,†,†,2,86,86,9,197,1,81,2,75,74,8,144,3,54,1,62,89,8,160,–,39,1,78,105,10,166,–,44,1,72,78,12,154,–,32,1,70,88,9,165,2,38
CAMINO UNION ELEMENTARY,California,†,†,†,†,†,†,†,2,–,15,–,35,–,4,1,–,17,–,19,–,4,3,–,14,–,37,–,3,–,–,20,–,27,–,6,1,–,18,–,37,–,7,2,–,22,–,42,1,4
CAMPBELL UNION,California,†,†,†,†,†,†,†,–,159,477,40,239,5,104,–,146,411,23,174,7,102,1,104,378,27,171,–,132,2,118,397,25,210,8,63,–,136,426,24,177,1,75,3,148,357,38,229,7,66
CAMPBELL UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CAMPTONVILLE ELEMENTARY,California,†,†,†,†,†,†,†,–,1,5,–,27,–,2,1,–,2,–,22,–,5,–,–,5,1,21,–,3,1,–,5,–,25,–,3,1,–,5,1,22,–,6,1,–,6,–,32,–,6
CANYON ELEMENTARY,California,†,†,†,†,†,†,†,–,1,3,–,2,–,2,–,–,–,–,7,–,1,–,–,1,–,5,–,2,–,1,1,–,8,–,–,–,–,1,1,4,–,2,–,–,1,–,4,–,1
CAPAY JOINT UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,9,–,11,–,1,–,–,8,–,8,–,–,–,–,8,–,12,–,1,–,–,7,–,20,–,–,–,–,11,–,8,–,1,–,–,9,–,10,–,–
CAPISTRANO UNIFIED,California,†,†,†,†,†,†,†,4,237,990,42,2075,6,375,8,245,990,28,1882,4,342,4,298,953,41,1953,6,368,10,278,1057,47,1941,2,348,6,280,1118,40,2140,8,335,7,330,1076,42,2319,2,288
CARDIFF ELEMENTARY,California,†,†,†,†,†,†,†,–,2,19,1,63,–,9,–,–,17,–,80,–,10,–,1,17,–,58,–,8,–,1,19,–,63,–,5,–,1,25,–,74,–,10,–,3,20,–,86,–,3
CARLSBAD UNIFIED,California,†,†,†,†,†,†,†,2,51,217,11,458,2,68,3,42,195,4,451,2,69,–,49,221,9,448,2,75,2,54,206,8,428,1,70,–,54,223,8,466,2,60,5,68,242,13,501,2,61
CARMEL UNIFIED,California,†,†,†,†,†,†,†,–,10,31,–,90,–,21,–,4,34,–,105,–,19,1,6,22,–,96,–,24,–,9,32,–,133,–,20,1,7,34,1,116,–,27,1,5,44,–,118,–,31
CARPINTERIA UNIFIED,California,†,†,†,†,†,†,†,1,2,170,–,65,–,2,1,4,107,1,41,–,4,–,3,120,2,29,–,–,–,7,124,–,46,–,2,1,2,131,1,32,–,4,–,4,130,–,44,–,4
CARUTHERS UNIFIED,California,†,†,†,†,†,†,†,–,3,93,–,11,–,2,–,1,71,–,9,–,–,–,4,78,1,6,–,1,–,–,85,1,10,–,–,–,6,71,–,2,–,–,1,3,82,–,5,–,2
CASCADE UNION ELEMENTARY,California,†,†,†,†,†,†,†,7,8,32,1,91,–,8,15,8,23,2,63,–,1,11,6,31,1,67,–,5,6,7,25,3,75,1,5,6,7,26,2,64,1,5,7,11,32,4,64,2,2
CASTAIC UNION,California,†,†,†,†,†,†,†,–,17,95,6,118,–,17,–,15,101,4,81,–,9,–,7,85,7,96,–,5,–,19,84,3,83,–,6,–,18,109,5,92,1,7,1,25,109,5,150,2,7
CASTLE ROCK UNION ELEMENTARY,California,†,†,†,†,†,†,†,1,–,–,–,6,–,1,–,–,2,–,5,–,–,–,–,–,–,3,–,–,–,–,4,–,2,–,1,–,–,–,–,1,–,1,–,–,1,–,5,–,3
CASTRO VALLEY UNIFIED,California,†,†,†,†,†,†,†,–,236,166,26,201,5,103,2,196,146,32,166,2,90,–,163,158,36,187,3,92,–,199,155,28,195,1,89,1,207,165,27,191,1,80,2,203,194,37,215,3,57
CAYUCOS ELEMENTARY,California,†,†,†,†,†,†,†,–,–,2,–,15,–,2,–,–,4,–,14,–,4,–,–,7,–,16,–,1,–,–,4,–,8,–,4,–,–,12,–,16,–,1,–,1,4,–,13,–,3
CENTER FOR ADVANCED RESEARCH & TECH (CART) JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTER JOINT UNIFIED,California,†,†,†,†,†,†,†,1,20,94,37,169,2,32,3,24,86,41,178,4,26,3,25,71,28,141,4,35,–,24,96,28,158,–,28,6,29,83,20,140,6,30,2,26,99,43,156,5,23
CENTINELA VALLEY UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL CALIF MIGRANT HEAD START JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL CALIFORNIA SCHOOL FINANCE AUTHORITY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL ELEMENTARY,California,†,†,†,†,†,†,†,–,35,263,39,141,4,15,1,28,232,47,124,1,16,–,39,228,51,141,1,14,–,38,241,61,141,4,12,–,33,269,54,138,2,14,–,38,277,63,142,3,11
CENTRAL ORANGE COUNTY CTE PARTNERSHIP (CTEP),California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL SIERRA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL SIERRA ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL UNIFIED,California,†,†,†,†,†,†,†,14,248,854,126,222,4,34,4,183,669,107,164,3,16,4,157,707,96,185,5,18,8,164,688,97,192,3,18,8,156,724,108,188,–,21,7,164,762,116,170,5,26
CENTRAL UNION ELEMENTARY,California,†,†,†,†,†,†,†,15,6,95,16,103,2,61,15,5,87,16,80,1,24,10,11,70,15,71,2,15,14,7,80,13,49,1,16,8,12,82,8,70,3,14,14,15,70,17,65,–,10
CENTRAL UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL VALLEY PRE-SCHOOL JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRAL VALLEY SUPPORT SERVICES JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CENTRALIA ELEMENTARY,California,†,†,†,†,†,†,†,5,161,354,22,130,2,22,1,136,291,12,89,1,26,4,157,305,14,82,3,26,3,147,342,16,85,6,15,2,169,343,21,94,2,19,–,159,347,21,97,6,15
CERES UNIFIED,California,†,†,†,†,†,†,†,2,88,999,22,201,6,9,4,68,884,16,190,3,15,7,64,851,20,151,6,13,4,71,877,15,174,14,9,5,52,869,21,183,14,11,6,61,932,14,156,5,13
CHAFFEY JOINT UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHARTER OAK UNIFIED,California,†,†,†,†,†,†,†,1,32,284,5,50,–,21,2,25,235,6,41,2,11,–,23,230,9,61,–,10,1,24,212,15,58,1,8,1,22,268,8,70,2,9,–,29,255,6,67,2,9
CHATOM UNION,California,†,†,†,†,†,†,†,–,–,44,–,28,–,3,–,–,47,–,16,–,3,–,–,47,–,26,–,1,–,–,46,–,17,–,4,–,–,38,–,19,–,–,–,–,36,–,15,–,2
CHAWANAKEE UNIFIED,California,†,†,†,†,†,†,†,8,1,10,1,41,–,9,7,–,9,1,29,1,2,10,2,5,–,39,–,2,6,1,13,1,29,–,2,4,1,10,4,42,–,–,11,1,11,–,37,–,2
CHICAGO PARK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,4,–,13,–,–,–,–,3,–,14,–,2,1,–,2,–,9,–,4,–,–,3,–,18,–,–,–,2,–,–,16,–,–,–,1,3,–,19,–,1
CHICO UNIFIED,California,†,†,†,†,†,†,†,14,64,304,11,691,5,107,16,61,255,23,649,6,82,16,51,252,25,579,5,81,15,59,243,21,562,6,61,16,60,275,34,665,1,43,12,70,279,26,632,4,56
CHINO VALLEY UNIFIED,California,†,†,†,†,†,†,†,2,404,1169,50,306,4,39,1,418,1111,55,340,3,49,1,422,1139,60,362,9,38,–,434,1134,65,344,7,49,–,434,1275,73,380,5,48,1,416,1354,61,381,4,45
CHOWCHILLA ELEMENTARY,California,†,†,†,†,†,†,†,1,5,166,7,73,1,1,1,7,162,4,71,1,7,1,4,151,3,66,1,2,1,6,168,5,78,1,3,–,2,157,6,76,–,1,–,4,154,2,71,–,6
CHOWCHILLA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
CHUALAR UNION,California,†,†,†,†,†,†,†,–,–,40,–,–,–,–,–,–,35,–,–,–,–,–,–,36,–,–,–,–,–,–,41,–,–,–,–,–,–,31,–,–,–,–,–,–,32,–,2,–,–
CHULA VISTA ELEMENTARY,California,†,†,†,†,†,†,†,6,511,3006,172,468,12,152,9,430,2674,147,429,11,151,7,424,2584,118,432,13,126,5,456,2670,177,453,17,126,7,488,2800,149,446,22,140,4,513,3043,147,477,26,162
CIENEGA UNION ELEMENTARY,California,†,†,†,†,†,†,†,–,–,1,–,–,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0,–,–,1,–,2,–,–,–,–,2,–,2,–,–,–,–,4,–,2,–,–
CINNABAR ELEMENTARY,California,†,†,†,†,†,†,†,–,1,33,–,9,–,–,–,–,19,–,11,–,–,–,–,26,1,9,1,1,–,–,20,–,8,–,–,–,–,18,–,4,1,1,–,–,14,–,10,–,1
CLAREMONT UNIFIED,California,†,†,†,†,†,†,†,2,55,240,19,153,1,39,1,47,204,20,142,1,36,1,55,194,23,128,1,43,–,63,201,20,171,4,35,3,54,218,23,189,–,35,2,54,203,31,198,2,46
CLAY JOINT ELEMENTARY,California,†,†,†,†,†,†,†,–,–,7,–,13,–,1,–,1,6,–,13,–,2,–,1,5,–,16,–,6,–,–,9,–,18,–,–,–,2,6,–,21,–,1,–,2,11,–,17,–,–
CLEAR CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,3,–,9,–,1,–,–,1,–,11,–,1,–,–,–,–,15,–,–,–,–,1,–,16,–,–,–,–,2,–,17,–,2,–,–,2,–,19,–,1
CLOVERDALE UNIFIED,California,†,†,†,†,†,†,†,6,2,71,2,53,–,3,1,3,53,1,36,–,2,3,2,64,–,42,–,4,8,1,61,1,37,–,3,3,–,53,–,49,–,1,4,–,55,–,51,–,4
CLOVIS UNIFIED,California,†,†,†,†,†,†,†,24,590,1394,106,1422,5,130,24,492,1226,105,1206,5,116,18,468,1196,82,1112,7,102,12,471,1194,96,1237,12,107,19,493,1210,117,1283,6,100,22,488,1285,106,1281,7,98
COACHELLA VALLEY UNIFIED,California,†,†,†,†,†,†,†,7,1,1584,3,18,–,17,9,1,1373,2,12,–,6,2,1,1371,3,10,–,8,7,–,1370,3,7,–,5,6,1,1470,4,17,–,6,13,–,1575,2,10,–,8
COALINGA-HURON UNIFIED,California,†,†,†,†,†,†,†,1,7,333,6,35,–,24,–,6,309,3,33,–,13,2,5,261,3,28,–,22,–,11,296,5,32,–,4,–,7,335,3,37,–,4,2,11,286,4,31,–,3
COAST UNIFIED,California,†,†,†,†,†,†,†,–,–,40,–,10,–,1,–,–,34,–,8,–,–,–,–,30,–,10,–,3,–,–,34,–,9,–,1,–,–,35,1,12,–,2,–,1,23,–,8,–,2
COASTLINE ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COASTLINE ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COFFEE CREEK ELEMENTARY,California,†,†,†,†,†,†,†,–,–,–,–,1,–,1,–,–,–,–,1,–,1,–,–,–,–,1,–,–,–,–,–,–,1,–,–,0,0,0,0,0,0,0,–,–,–,–,–,–,1
COLD SPRING ELEMENTARY,California,†,†,†,†,†,†,†,–,1,3,–,28,–,–,–,2,3,–,22,–,–,–,1,1,–,13,–,4,–,–,3,–,19,–,–,–,1,2,2,21,–,–,–,2,–,–,18,–,–
COLFAX ELEMENTARY,California,†,†,†,†,†,†,†,–,–,5,–,26,–,3,–,–,1,–,30,–,5,–,–,3,–,36,–,3,1,–,1,–,33,–,1,–,–,5,–,28,–,3,–,1,3,–,30,–,1
COLLEGE AND CAREER ADVANTAGE,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COLLEGE ELEMENTARY,California,†,†,†,†,†,†,†,–,–,21,–,20,–,1,1,–,12,–,20,–,2,–,–,15,–,18,–,2,3,1,14,–,22,1,3,2,–,18,–,20,–,2,5,–,19,–,25,–,4
COLTON JOINT UNIFIED,California,†,†,†,†,†,†,†,5,30,1620,96,111,4,18,2,40,1410,92,90,3,16,7,43,1459,93,87,3,13,1,46,1304,106,105,2,21,1,38,1568,105,100,6,22,1,36,1592,114,110,9,20
COLTON-REDLANDS-YUCAIPA ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COLTON-REDLANDS-YUCAIPA ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COLUMBIA ELEMENTARY,California,†,†,†,†,†,†,†,2,3,23,–,143,–,19,1,5,16,1,98,–,24,2,4,21,2,115,–,12,5,6,13,–,103,–,13,2,4,11,4,110,–,11,2,7,17,–,127,–,21
COLUMBIA UNION,California,†,†,†,†,†,†,†,1,1,6,1,50,1,8,1,1,9,–,31,–,15,2,1,4,2,39,–,1,1,1,3,2,38,–,4,2,1,8,1,40,–,6,2,2,8,–,40,1,1
COLUMBINE ELEMENTARY,California,†,†,†,†,†,†,†,–,4,22,–,1,–,1,–,–,21,1,2,–,–,–,–,17,–,1,–,3,–,1,21,–,2,–,–,–,1,21,–,–,–,–,–,2,22,–,1,–,1
COLUSA COUNTY OFFICE OF EDUCATION,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
COLUSA UNIFIED,California,†,†,†,†,†,†,†,4,1,92,–,27,–,2,6,1,82,–,14,1,1,1,2,75,–,23,–,1,6,1,96,–,20,–,4,5,2,82,–,37,–,1,5,1,80,–,23,–,2
COMMUNITY DAY SCHOOL JOINT POWERS AGENCY,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
