Agency Name,State Name [District] Latest available year,Grade 6 Students - American Indian/Alaska Native [District] 2016-17,Grade 6 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 6 Students - Hispanic [District] 2016-17,Grade 6 Students - Black [District] 2016-17,Grade 6 Students - White [District] 2016-17,Grade 6 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 6 Students - Two or More Races [District] 2016-17,Grade 7 Students - American Indian/Alaska Native [District] 2016-17,Grade 7 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 7 Students - Hispanic [District] 2016-17,Grade 7 Students - Black [District] 2016-17,Grade 7 Students - White [District] 2016-17,Grade 7 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 7 Students - Two or More Races [District] 2016-17,Grade 8 Students - American Indian/Alaska Native [District] 2016-17,Grade 8 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 8 Students - Hispanic [District] 2016-17,Grade 8 Students - Black [District] 2016-17,Grade 8 Students - White [District] 2016-17,Grade 8 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 8 Students - Two or More Races [District] 2016-17,Grade 9 Students - American Indian/Alaska Native [District] 2016-17,Grade 9 Students - Asian or Asian/Pacific Islander [District] 2016-17,Grade 9 Students - Hispanic [District] 2016-17,Grade 9 Students - Black [District] 2016-17,Grade 9 Students - White [District] 2016-17,Grade 9 Students - Hawaiian Nat./Pacific Isl. [District] 2016-17,Grade 9 Students - Two or More Races [District] 2016-17
WASHINGTON UNION ELEMENTARY,California,–,10,15,1,64,–,5,1,6,14,1,74,2,8,–,14,25,1,67,–,1,†,†,†,†,†,†,†
WATERFORD UNIFIED,California,3,18,126,7,136,3,23,2,24,139,4,106,1,24,3,15,132,5,114,2,16,–,21,145,5,114,–,26
WAUGH ELEMENTARY,California,–,8,32,2,86,–,11,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WAUKENA JOINT UNION ELEMENTARY,California,–,–,18,–,4,–,–,–,–,24,1,4,–,–,–,1,24,–,5,–,–,†,†,†,†,†,†,†
WEAVER UNION,California,1,41,209,17,35,2,4,1,38,199,17,25,2,5,–,52,199,16,44,2,4,†,†,†,†,†,†,†
WEED UNION ELEMENTARY,California,1,1,7,3,13,–,3,–,2,14,–,20,–,3,1,3,4,1,20,–,–,†,†,†,†,†,†,†
WEST CONTRA COSTA UNIFIED,California,6,358,1289,371,247,15,50,7,342,1149,389,209,13,66,4,348,1119,320,204,9,40,5,336,1233,428,248,14,50
WEST COUNTY TRANSPORTATION JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST COVINA UNIFIED,California,2,110,644,61,89,6,18,–,141,729,64,113,4,27,1,122,678,78,148,5,20,1,135,678,54,114,1,21
WEST PARK ELEMENTARY,California,–,4,40,2,4,–,2,2,1,43,–,4,–,1,–,7,50,2,5,–,–,–,–,31,–,6,–,1
WEST SIDE ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
WEST SIDE ROP JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST SIDE UNION ELEMENTARY,California,–,–,6,–,14,–,–,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WEST SONOMA COUNTY UNION HIGH,California,="0",="0",="0",="0",="0",="0",="0",1,–,2,–,4,–,–,–,–,–,–,2,–,–,5,15,105,7,321,1,19
WEST VALLEY SCHOOLS TRANSPORTATION AGENCY JPA,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WESTERN PLACER UNIFIED,California,6,32,188,24,397,8,40,11,52,184,15,414,7,29,12,45,180,17,413,3,30,15,37,175,16,365,7,27
WESTMINSTER,California,–,423,439,9,155,5,27,4,457,433,7,120,8,23,5,466,406,4,122,7,31,†,†,†,†,†,†,†
WESTMORLAND UNION ELEMENTARY,California,–,–,45,–,1,–,–,–,–,46,–,2,–,–,–,–,42,–,3,–,–,†,†,†,†,†,†,†
WESTSIDE ELEMENTARY,California,–,–,27,–,16,–,–,–,1,37,–,16,–,1,–,1,25,1,10,–,2,2,2,126,18,46,–,20
WESTSIDE UNION ELEMENTARY,California,2,44,471,112,360,1,62,2,51,501,124,315,2,46,3,64,424,128,392,3,35,†,†,†,†,†,†,†
WESTWOOD UNIFIED,California,–,–,1,–,15,–,1,1,–,6,–,21,–,1,1,–,6,–,16,–,2,3,–,9,–,20,–,–
WHEATLAND,California,2,6,31,7,73,–,15,3,7,19,7,85,2,5,2,6,27,4,82,1,4,†,†,†,†,†,†,†
WHEATLAND UNION HIGH,California,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",3,8,64,7,109,–,40
WHITMORE UNION ELEMENTARY,California,–,–,1,2,12,–,–,–,–,3,–,15,–,3,–,–,3,–,15,–,3,–,1,2,–,10,–,1
WHITTIER CITY ELEMENTARY,California,2,4,625,4,27,1,11,1,4,607,6,25,–,9,1,5,594,5,21,1,7,†,†,†,†,†,†,†
WHITTIER UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,3,70,2534,22,189,4,16
WILLIAM (R) ROUSE ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WILLIAM S. HART UNION HIGH,California,1,–,22,5,47,–,11,10,497,1354,141,1442,5,176,9,428,1365,148,1524,5,177,14,485,1933,229,1685,3,276
WILLIAMS UNIFIED,California,–,2,102,–,5,–,–,–,1,91,–,–,–,–,–,3,86,–,5,–,–,–,2,89,–,2,1,–
WILLITS UNIFIED,California,15,3,49,1,76,–,7,14,2,44,2,67,–,9,8,2,35,–,98,–,11,9,2,40,–,95,–,8
WILLOW CREEK ELEMENTARY,California,–,–,–,–,8,–,–,–,–,1,–,1,–,2,–,–,–,–,2,–,1,†,†,†,†,†,†,†
WILLOW GROVE UNION ELEMENTARY,California,–,–,2,–,–,–,–,–,–,1,–,–,–,–,–,–,4,–,1,–,–,†,†,†,†,†,†,†
WILLOWS UNIFIED,California,5,9,67,1,45,–,2,3,3,52,–,41,–,3,4,4,56,1,47,–,1,3,8,62,–,51,–,2
WILMAR UNION ELEMENTARY,California,–,–,3,–,19,–,2,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
WILSONA ELEMENTARY,California,1,1,92,14,30,–,6,3,–,93,16,22,–,3,1,–,98,15,23,–,–,†,†,†,†,†,†,†
WINDSOR UNIFIED,California,2,8,196,1,145,–,9,7,11,211,6,191,3,11,4,7,182,3,188,1,2,10,5,212,2,233,2,–
WINSHIP-ROBBINS,California,1,3,25,–,36,–,7,2,3,24,–,31,–,6,–,1,28,–,28,–,4,–,1,7,–,12,–,2
WINTERS JOINT UNIFIED,California,–,2,88,2,35,–,1,2,1,79,1,37,–,2,–,–,76,–,46,–,–,1,2,79,–,46,–,–
WINTON,California,–,10,182,1,12,–,3,–,10,175,2,17,–,–,3,8,178,1,6,–,–,†,†,†,†,†,†,†
WISEBURN UNIFIED,CALIFORNIA,–,19,219,54,64,4,32,2,27,201,66,45,2,29,–,21,227,67,33,–,14,–,11,209,48,41,–,44
WOODLAKE UNIFIED,California,2,2,155,–,10,–,–,–,–,159,–,7,–,2,–,–,167,1,6,–,1,–,2,154,–,16,–,2
WOODLAND JOINT UNIFIED,California,4,40,527,7,185,2,12,3,41,528,11,161,5,18,6,31,490,14,146,3,20,3,45,511,14,183,4,18
WOODSIDE ELEMENTARY,California,–,1,8,2,39,1,1,–,2,3,–,28,2,2,–,3,6,–,25,–,1,†,†,†,†,†,†,†
WOODVILLE UNION ELEMENTARY,California,–,–,41,–,1,–,–,–,–,47,–,1,–,–,–,–,46,–,–,–,–,†,†,†,†,†,†,†
WRIGHT ELEMENTARY,California,1,15,133,6,35,1,3,–,5,45,–,7,–,–,–,9,33,1,13,–,–,†,†,†,†,†,†,†
YOLO COUNTY OFFICE OF EDUCATION,California,–,1,4,1,23,–,–,–,1,2,–,23,–,1,1,1,6,1,13,–,–,–,–,14,1,6,–,–
YOLO COUNTY ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,="0",="0",="0",="0",="0",="0",="0"
YOSEMITE ROP,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
YOSEMITE UNIFIED,California,3,1,32,3,94,–,11,9,3,28,2,107,–,9,5,1,24,–,110,–,12,10,3,44,2,157,–,9
YREKA UNION ELEMENTARY,California,18,3,23,–,55,–,8,8,1,16,2,65,–,3,11,3,13,2,57,–,4,†,†,†,†,†,†,†
YREKA UNION HIGH,California,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,12,–,22,1,112,–,21
YUBA CITY UNIFIED,California,6,209,459,20,321,2,62,3,194,463,19,268,1,60,4,210,442,17,298,3,53,6,185,449,23,285,1,57
YUBA COUNTY OFFICE OF EDUCATION,California,–,–,8,–,12,–,3,3,–,6,–,20,–,3,1,1,8,1,22,–,5,5,–,5,2,21,–,4
YUCAIPA-CALIMESA JOINT UNIFIED,California,2,11,342,10,369,1,78,2,12,353,12,361,2,84,3,20,303,12,364,2,93,4,10,322,9,416,3,10
